Id,SalePrice
1461,142500
1462,151500
1463,231500
1464,197500
1465,108480
1466,227875
1467,124900
1468,163990
1469,203000
1470,138500
1471,254000
1472,94500
1473,85400
1474,179400
1475,75000
1476,142600
1477,142600
1478,314813
1479,395000
1480,301500
1481,320000
1482,187750
1483,157900
1484,160200
1485,135500
1486,215200
1487,342643
1488,287090
1489,176432
1490,218000
1491,269500
1492,96500
1493,138800
1494,238000
1495,313000
1496,286000
1497,114504
1498,173733
1499,173733
1500,173733
1501,179400
1502,147400
1503,315500
1504,216000
1505,392000
1506,137900
1507,339750
1508,168000
1509,146500
1510,142000
1511,150000
1512,275000
1513,165150
1514,217500
1515,239500
1516,97500
1517,170000
1518,179600
1519,392000
1520,125000
1521,157000
1522,167000
1523,163990
1524,94750
1525,94750
1526,135500
1527,60000
1528,154000
1529,139950
1530,147500
1531,91500
1532,155900
1533,123500
1534,87000
1535,187500
1536,119000
1537,81000
1538,178000
1539,263000
1540,263000
1541,112000
1542,175900
1543,200100
1544,110500
1545,98000
1546,98000
1547,168500
1548,98000
1549,83000
1550,137450
1551,254000
1552,183500
1553,138887
1554,144152
1555,282922
1556,108000
1557,150000
1558,91000
1559,122500
1560,103600
1561,137900
1562,133000
1563,119900
1564,206300
1565,158900
1566,423000
1567,76000
1568,223500
1569,168000
1570,142500
1571,126000
1572,181500
1573,160000
1574,200141
1575,121500
1576,310000
1577,187750
1578,219210
1579,94750
1580,146500
1581,138800
1582,120500
1583,305900
1584,263000
1585,155900
1586,92900
1587,55993
1588,145500
1589,119200
1590,144500
1591,119750
1592,108480
1593,60000
1594,142953
1595,139500
1596,228500
1597,311500
1598,248000
1599,149300
1600,194201
1601,97000
1602,126000
1603,67000
1604,264561
1605,339750
1606,181500
1607,378500
1608,182000
1609,169990
1610,95000
1611,221000
1612,169990
1613,182000
1614,83500
1615,94500
1616,75000
1617,83500
1618,80000
1619,111250
1620,172400
1621,130500
1622,152000
1623,307000
1624,235000
1625,111250
1626,203000
1627,197500
1628,354000
1629,185900
1630,278000
1631,187750
1632,392000
1633,163900
1634,173000
1635,208500
1636,187750
1637,225000
1638,224500
1639,171000
1640,325000
1641,218000
1642,216000
1643,183000
1644,189000
1645,293077
1646,184900
1647,162500
1648,208300
1649,154500
1650,135960
1651,110000
1652,85400
1653,85400
1654,179400
1655,83500
1656,179400
1657,179400
1658,147400
1659,83500
1660,131400
1661,412500
1662,354000
1663,402861
1664,611657
1665,255500
1666,223000
1667,240000
1668,297000
1669,218000
1670,372402
1671,274000
1672,555000
1673,309000
1674,233170
1675,185850
1676,175900
1677,203000
1678,440000
1679,440000
1680,319900
1681,202665
1682,223000
1683,171750
1684,155835
1685,179540
1686,159895
1687,163900
1688,205950
1689,227875
1690,122000
1691,185900
1692,310000
1693,95000
1694,185900
1695,184100
1696,267000
1697,184100
1698,345000
1699,213250
1700,236000
1701,154300
1702,255500
1703,295493
1704,307000
1705,265900
1706,369900
1707,208300
1708,179600
1709,227680
1710,194700
1711,339750
1712,318061
1713,324000
1714,229456
1715,185900
1716,176432
1717,187750
1718,99500
1719,239900
1720,213250
1721,135500
1722,135500
1723,143000
1724,187750
1725,214900
1726,200100
1727,187750
1728,212000
1729,177000
1730,184100
1731,142125
1732,123000
1733,129500
1734,128900
1735,119900
1736,134800
1737,326000
1738,158900
1739,151400
1740,194201
1741,246578
1742,173733
1743,183900
1744,377500
1745,283463
1746,187000
1747,310000
1748,222500
1749,128950
1750,153000
1751,201800
1752,116500
1753,233170
1754,237000
1755,223500
1756,120500
1757,58500
1758,150000
1759,235000
1760,174900
1761,157000
1762,236000
1763,145250
1764,82500
1765,275000
1766,218000
1767,259000
1768,229456
1769,182900
1770,134500
1771,98600
1772,156500
1773,144900
1774,216837
1775,119000
1776,135500
1777,123000
1778,119900
1779,101800
1780,214900
1781,128900
1782,73000
1783,155835
1784,97000
1785,186000
1786,232000
1787,183000
1788,86000
1789,64500
1790,64500
1791,317000
1792,134450
1793,142500
1794,132500
1795,141000
1796,92900
1797,132500
1798,105500
1799,116500
1800,133000
1801,155835
1802,114500
1803,169500
1804,138500
1805,132500
1806,106000
1807,233000
1808,172785
1809,139500
1810,103600
1811,154900
1812,178900
1813,98000
1814,105500
1815,91300
1816,105900
1817,178000
1818,183500
1819,114504
1820,99900
1821,108480
1822,178000
1823,93500
1824,202665
1825,89500
1826,98000
1827,107900
1828,137450
1829,126500
1830,172400
1831,177000
1832,114504
1833,107500
1834,116900
1835,135900
1836,108480
1837,143750
1838,95000
1839,52500
1840,218000
1841,157000
1842,96500
1843,142500
1844,97000
1845,172785
1846,245500
1847,215000
1848,35311
1849,133500
1850,128900
1851,146500
1852,133700
1853,155900
1854,94750
1855,168000
1856,219500
1857,280000
1858,142953
1859,118858
1860,153337
1861,118858
1862,354000
1863,216500
1864,299800
1865,297000
1866,297000
1867,204900
1868,319000
1869,206000
1870,184900
1871,235128
1872,155835
1873,223500
1874,156000
1875,245500
1876,252678
1877,218000
1878,232600
1879,133500
1880,135960
1881,306000
1882,281213
1883,173900
1884,195000
1885,289000
1886,337500
1887,229456
1888,307000
1889,155835
1890,143250
1891,90350
1892,112500
1893,121500
1894,136905
1895,145250
1896,124900
1897,103600
1898,66500
1899,143500
1900,101000
1901,231500
1902,245500
1903,263435
1904,174900
1905,143900
1906,138800
1907,160000
1908,75000
1909,85400
1910,75000
1911,190000
1912,160000
1913,179500
1914,61000
1915,264561
1916,192140
1917,233000
1918,156000
1919,181500
1920,249700
1921,465000
1922,312500
1923,266500
1924,181900
1925,263000
1926,402861
1927,143000
1928,222000
1929,119900
1930,82000
1931,119900
1932,130500
1933,165150
1934,208500
1935,185900
1936,204750
1937,172785
1938,158500
1939,196000
1940,108480
1941,155835
1942,231500
1943,126175
1944,309000
1945,440000
1946,256000
1947,392000
1948,402000
1949,337500
1950,162500
1951,160000
1952,377426
1953,159950
1954,228500
1955,95000
1956,354000
1957,169990
1958,328000
1959,186500
1960,141000
1961,134800
1962,85400
1963,85400
1964,85400
1965,179400
1966,167240
1967,315500
1968,611657
1969,301500
1970,451950
1971,345000
1972,354000
1973,263000
1974,339750
1975,611657
1976,297000
1977,267000
1978,556581
1979,295493
1980,227680
1981,367294
1982,254000
1983,202665
1984,147400
1985,246578
1986,246578
1987,194201
1988,179540
1989,183500
1990,183500
1991,179200
1992,208500
1993,154900
1994,310000
1995,183500
1996,265000
1997,230500
1998,374000
1999,339750
2000,258000
2001,301000
2002,315500
2003,266000
2004,237000
2005,167000
2006,250580
2007,248900
2008,153500
2009,95000
2010,224500
2011,135500
2012,176432
2013,185900
2014,208500
2015,164900
2016,185900
2017,185900
2018,130250
2019,132500
2020,138500
2021,83000
2022,168000
2023,206900
2024,299800
2025,285000
2026,159895
2027,173733
2028,144152
2029,179400
2030,328900
2031,246578
2032,246578
2033,246578
2034,179400
2035,339750
2036,179400
2037,179400
2038,151400
2039,170000
2040,244400
2041,289000
2042,183000
2043,162500
2044,249700
2045,217000
2046,233170
2047,208500
2048,139400
2049,249700
2050,201800
2051,82000
2052,169990
2053,146800
2054,148800
2055,167000
2056,93500
2057,133700
2058,260000
2059,148000
2060,165500
2061,315500
2062,157000
2063,119200
2064,129000
2065,111250
2066,190000
2067,92900
2068,142600
2069,101800
2070,68400
2071,73000
2072,198900
2073,131400
2074,266500
2075,163500
2076,120500
2077,154000
2078,125000
2079,105000
2080,119750
2081,138000
2082,216837
2083,107500
2084,105500
2085,99500
2086,101800
2087,179540
2088,91500
2089,73000
2090,107400
2091,155835
2092,189950
2093,200100
2094,103200
2095,179900
2096,93000
2097,37900
2098,159500
2099,109500
2100,139900
2101,179540
2102,151000
2103,126000
2104,253000
2105,135900
2106,155835
2107,255900
2108,128900
2109,67000
2110,134000
2111,154900
2112,213500
2113,121600
2114,66500
2115,137450
2116,107900
2117,141500
2118,98000
2119,108480
2120,116900
2121,108500
2122,78000
2123,80500
2124,122500
2125,141500
2126,186500
2127,189000
2128,159434
2129,119750
2130,177000
2131,234000
2132,178900
2133,105500
2134,128000
2135,108000
2136,112000
2137,116050
2138,146800
2139,111250
2140,131400
2141,119900
2142,134450
2143,134800
2144,108959
2145,134500
2146,157500
2147,193500
2148,105000
2149,156000
2150,248000
2151,148800
2152,168000
2153,275000
2154,134500
2155,146500
2156,383970
2157,307000
2158,231500
2159,169000
2160,178900
2161,287090
2162,374000
2163,306000
2164,180000
2165,170000
2166,156000
2167,229456
2168,201800
2169,204750
2170,164900
2171,178400
2172,147000
2173,181900
2174,228500
2175,220000
2176,377500
2177,255900
2178,269500
2179,155900
2180,307000
2181,233170
2182,221500
2183,176432
2184,82500
2185,178400
2186,153337
2187,128900
2188,161000
2189,402000
2190,91300
2191,98300
2192,116500
2193,174500
2194,82000
2195,122900
2196,100000
2197,146000
2198,194700
2199,216500
2200,122000
2201,172785
2202,183200
2203,178000
2204,225000
2205,178000
2206,139950
2207,226700
2208,254900
2209,280000
2210,83500
2211,80000
2212,66500
2213,105000
2214,135900
2215,109500
2216,136000
2217,133500
2218,89500
2219,148800
2220,113000
2221,264561
2222,264561
2223,240000
2224,195000
2225,90000
2226,307000
2227,246578
2228,306000
2229,310000
2230,95000
2231,269500
2232,142600
2233,157900
2234,121500
2235,392000
2236,306000
2237,394432
2238,153000
2239,116050
2240,155900
2241,157500
2242,149300
2243,173733
2244,83500
2245,85400
2246,157900
2247,85400
2248,134900
2249,129900
2250,111250
2251,538000
2252,260400
2253,163900
2254,165150
2255,252678
2256,188500
2257,183000
2258,176432
2259,189950
2260,157900
2261,110500
2262,251000
2263,354000
2264,538000
2265,184750
2266,392000
2267,301500
2268,377426
2269,200141
2270,174500
2271,262000
2272,172000
2273,149900
2274,203000
2275,182900
2276,174900
2277,241000
2278,159000
2279,139400
2280,97500
2281,194201
2282,162500
2283,83500
2284,75000
2285,83500
2286,135960
2287,337500
2288,235128
2289,465000
2290,451950
2291,309000
2292,440000
2293,465000
2294,582933
2295,501837
2296,187100
2297,274300
2298,395000
2299,485000
2300,328000
2301,310000
2302,307000
2303,216837
2304,252000
2305,246578
2306,246578
2307,254000
2308,209500
2309,179200
2310,202665
2311,246578
2312,172785
2313,178900
2314,224500
2315,173900
2316,178000
2317,272000
2318,163990
2319,154900
2320,208300
2321,264561
2322,194201
2323,133500
2324,161750
2325,232600
2326,174500
2327,205950
2328,252678
2329,146500
2330,178000
2331,426000
2332,424870
2333,313000
2334,255900
2335,154300
2336,337000
2337,169990
2338,306000
2339,279500
2340,402861
2341,212900
2342,208900
2343,392000
2344,263000
2345,192500
2346,250580
2347,176485
2348,173500
2349,178900
2350,310000
2351,245350
2352,235128
2353,275500
2354,99500
2355,99500
2356,143000
2357,194700
2358,225000
2359,154900
2360,123500
2361,138000
2362,248000
2363,94750
2364,111250
2365,246578
2366,160200
2367,194201
2368,246578
2369,209500
2370,179400
2371,179400
2372,187750
2373,216500
2374,252678
2375,213250
2376,402861
2377,501837
2378,119200
2379,263435
2380,138500
2381,180000
2382,171000
2383,233170
2384,226000
2385,94750
2386,94750
2387,127500
2388,84900
2389,134000
2390,181900
2391,132500
2392,67000
2393,98600
2394,148000
2395,236000
2396,170000
2397,423000
2398,149900
2399,86000
2400,55000
2401,86000
2402,128900
2403,179600
2404,131400
2405,142000
2406,129500
2407,135960
2408,114500
2409,126500
2410,275000
2411,82500
2412,149900
2413,134450
2414,142500
2415,179600
2416,94750
2417,154000
2418,139400
2419,213500
2420,138500
2421,165500
2422,133500
2423,202900
2424,180500
2425,248000
2426,166000
2427,155835
2428,95000
2429,109008
2430,138500
2431,134000
2432,133700
2433,134000
2434,139950
2435,392000
2436,98300
2437,112500
2438,129900
2439,105500
2440,98000
2441,149300
2442,160200
2443,105500
2444,179540
2445,98000
2446,178000
2447,239900
2448,95000
2449,121600
2450,189000
2451,183900
2452,309000
2453,92900
2454,84000
2455,112500
2456,118500
2457,98000
2458,98000
2459,107900
2460,141500
2461,98000
2462,140200
2463,98000
2464,172400
2465,173900
2466,102776
2467,116900
2468,79900
2469,108480
2470,222000
2471,187000
2472,228500
2473,148500
2474,178900
2475,254900
2476,121600
2477,146800
2478,162500
2479,157500
2480,181900
2481,119200
2482,123000
2483,84500
2484,139400
2485,139400
2486,181900
2487,267000
2488,117000
2489,180000
2490,135500
2491,92900
2492,270000
2493,134432
2494,274725
2495,97500
2496,243000
2497,152000
2498,86000
2499,84000
2500,155900
2501,179000
2502,184000
2503,189950
2504,244400
2505,236000
2506,287090
2507,245350
2508,295493
2509,235128
2510,185500
2511,187750
2512,186500
2513,252678
2514,242000
2515,157500
2516,95000
